Condition,Distance_km,Frequency_GHz,Bandwidth_MHz,Modulation,TxPower_dBm,Gain_dBi,RSSI_dBm,SNR_dB,BER,Availability_percent,Etat
Normal_Rural,9.11,32,56,QPSK,21.93,25.26,24.35,29.36,6.1472067392047E-07,99.82,OK
Normal_Rural,15.27,8,14,16-QAM,22.17,28.79,14.27,21.36,7.17759663814379E-07,99.57,OK
Normal_Rural,45.22,11,14,16-QAM,24.82,32.23,-40.5,0,0.124757786000949,99.89,KO
Normal_Rural,6.23,32,224,32-QAM,22.09,25.81,23.87,24.96,5.86565847697696E-07,92.88,OK
Normal_Rural,13.97,38,28,QPSK,21.09,25.36,5.42,11.94,0.000813120502988268,99.46,Dégradé
Normal_Rural,48.45,8,56,8PSK,24.98,35.17,-48.21,0,0.0999773271797085,99.73,KO
Normal_Rural,18.62,26,14,QPSK,23.42,27.4,12.7,22.53,3.73765068542553E-07,99.82,OK
Normal_Rural,32.02,23,224,8PSK,25.76,33.15,-18.43,0,0.227338779035669,99.03,KO
Normal_Rural,45.06,26,28,BPSK,24.01,38.81,-32.51,0,0.176424894933178,99.73,KO
Normal_Rural,32.06,23,56,BPSK,26.33,38.97,-0.69,5.92,0.0100883595333123,99.55,KO
Normal_Rural,3.07,26,112,64-QAM,18.45,21.62,32.71,42.32,8.754415491189E-07,99.95,OK
Normal_Rural,27.64,26,224,QPSK,26.38,32.15,-8.04,1.61,0.134244302242241,99.68,KO
Normal_Rural,29.52,4,14,16-QAM,26.23,39.92,-4.5,0,0.0997015440708087,99.71,KO
Normal_Rural,34.72,18,112,16-QAM,25.53,33.3,-21.48,0,0.104153462675704,99.9,KO
Normal_Rural,18.69,8,224,8PSK,23.31,29.27,14.8,15.49,6.16823857847105E-05,99.71,Dégradé
Normal_Rural,30.56,18,28,8PSK,24.67,34.34,-5.67,0,0.0176232438061131,99.81,KO
Normal_Rural,36.54,13,224,16-QAM,26.18,33.34,-17.07,0,0.105325016313078,99.26,KO
Normal_Rural,33.8,18,28,BPSK,24.58,39.29,-14.97,0,0.0982711035019849,93.39,KO
Normal_Rural,44.46,32,56,BPSK,25.74,35.68,-34.66,0,0.0127624232882608,99.64,KO
Normal_Rural,19.57,18,28,16-QAM,20.37,27.15,0.1,6.85,0.0306474692146767,99.66,KO
Normal_Rural,35.04,23,28,BPSK,25.3,31.9,-15.61,0,0.0302500614647896,99.98,KO
Normal_Rural,20.84,8,28,QPSK,24.48,37.87,18.3,27.73,1.63202367627895E-06,99.15,Dégradé
Normal_Rural,39.98,11,112,8PSK,26.03,36.19,-23.06,0,0.0876684886400745,99.56,KO
Normal_Rural,18.19,11,112,8PSK,23.39,27.93,3.32,11.65,8.02557368512222E-05,99.63,Dégradé
Normal_Rural,19.25,18,14,32-QAM,22.28,26.38,3.24,12.74,6.43062158720566E-05,99.63,Dégradé
Normal_Rural,8.28,11,28,8PSK,24,26.33,33.13,40.74,2.77689591485439E-07,99.68,OK
Normal_Rural,7.84,32,224,QPSK,20.74,26.18,17.4,25.47,5.47168870490634E-07,99.64,OK
Normal_Rural,17.51,18,14,16-QAM,22.62,28.75,11.93,21.62,3.75130501507965E-07,99.93,OK
